Artist,TrackName,Lyrics,AgeAppropriate
Thorgan,Why Don't You,"So why don't you Bodies are losing control Bending the mind and the soul Craving for you, I want more Know we won't stop 'til I'm gone Ride it baby Show me the taste of your love 'Cause you fucking drive me crazy Show me the taste of your love So why don't you Why don't you ride it So why don't you Why don't you ride it So why don't you Bodies are losing control Adrenaline rush through the bones I see your eyes through the smoke As I grip you by the throat Ride it baby Show me the taste of your love 'Cause you fucking drive me crazy Show me thе taste of your love So why don't you Why don't you ride it So why don't you Oh, won't you ridе it, baby? Oh, won't you ride it, baby? (Won't you ride it?) Won't you ride it, baby? Oh, won't you ride it, baby? So why don't you?",0
Justin Bieber,Confident,"Don't do it to me Don't do it to me (Oh, no, no, oh, no, no) Don't do it to me (Oh, no, no, oh, no, no, no) Don't do it to me (Oh, no, no, oh, no, no) Don't do it to me (Oh, no, no, oh, no, no), no Focused, I'm focused She got a body like that, I ain't never seen nothin' like that, uh-uh Like a fantasy in front of me, oh I think that somethin' special's goin' down That's right, I think she foreign (Foreign) I think she foreign (Foreign), got passports Mi amor ('Mor) started slow (Slow), got faster She gon' work some more (More), work some more (More) No stoppin' her now (Now, now) No stoppin' her now (Now, now, now, now) Then she started dancing, sexual romancin' Nasty but she fancy, lipstick on my satin sheets What's your nationality? Wonder if there's more of you She's got my attention, she's confident Oh, no, no, oh, no, no, she's confident (Yeah, yeah) Oh, no, no, oh, no, no, and I'm down with it Oh, no, no, oh, no, no, she's confident You could tell by the way she walks in the room She said it's her first time (Oh, yeah, yeah) I think she might have lied Feels so good, damn (Oh, yeah, yeah) And I don't know why I'm addicted (Oh, yeah, yeah) Something like an addict Got me twisted (Oh, yeah, yeah) But still, I gotta have it Explosive, explosive (Yeah, yeah) I could still smell her perfume It's not hard to notice that I'm open (Yeah, yeah) Hypnotized by the way she moves Then she started dancing, sexual romancin' Nasty but she fancy, Mona Lisa masterpiece What's your nationality? Wonder if there's more of you She's got my attention (Hold up), 'cause she's confident She said it's her first time (Oh, yeah, yeah) I think she might have lied Feels so good, damn (Oh, yeah, yeah) And I don't know why (IGH!) I'm addicted (Oh, yeah, yeah) Something like an addict (Ooh-woo!) Got me twisted (Oh, yeah, yeah) But still, I gotta have it Chance? The Rapper? IGH! Tattoos, piercings and she just learned to twerk (Oh?) She ain't got a heart or an ass, just her brains Gotta ask 'cause her ass on a learning curve (Oh?) And she love to hurn the berb, I mean burn the word That's only legal with a doctor's note (Oh?) Real deep pockets like a doctor's coat (IGH! IGH!) Stay faded like Diddy, hair back tryna rock the boat She the first mate when I rock the boat (IGH!) She never forget to ride like a bicycle She like planes, trains, chains with icicles It goes her, blank, blank, and rock and roll (IGH!) She say ""I know, honey bunny, that's the funny thing"" (Ooh!) Thots twerk for the Goodfellas She money dance with the money team, IGH! She's confident Oh, no, no, oh, no, no, she's confident (Yeah, yeah) Oh, no, no, oh, no, no, and I'm down with it (Oh, yeah) Oh, no, no, oh, no, no, she's confident You could tell by the way she walks in the room Still, I gotta have it (Yeah) Still, I gotta have it (Alright) Still, I gotta have it (Yeah, alright) Oh, no, no, oh, no, no (Yeah) Oh, no, no, oh, no, no, no (Alright) Oh, no, no, oh, no, no (Yeah) Oh, no, no, oh, no, no But still, I gotta have it",0
Juicy J,Having Sex (feat. Trina & 2 Chainz),"If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell, fuck yeah"" (Yes sir) Shawty throw me that ass, hold up let me see it Pop it let me touch it, bring it back and let me squeeze it Go on show me that pussy cat, I'mma take it home and feed it If it's good as it looks, might go in raw and seed it Pop a couple of these bands, she poppin' open that G-string Pussy wet as a pool, and Juicy J's in the deep end Bands a make her dance, I don't tip till I see pussy And she ain't got no waist line, that ass as soft as a seat cushion Damn right I make it rain, all night that's a hurricane Strip club run out of ones, I'm throwin' twenties I dont need change Every time she drop it, I'm goin' off to my pocket Fifty thousand in the air, I ain't worried I got it If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell, fuck yeah"" (Yes sir) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell yeah"" (Hell yeah) If you believe in having sex, say ""hell, fuck yeah"" (Yes sir) I believe in having sex, bitch I'm Miss America I do want I wanna do, and I fuck him in my Panamera Uh yea, fat bitch, don't see no bra, savage I don't even fuck around 'bout the cabbage Them hoes just sweet, average J know the mango Juicy, he love my big ol' booty Louboutins bake my cookie, Bugatti bitch no hooptie If I let you feature my movie, my legs wrapped around my neck If I let you feature in my movie, somebody cuttin' me a big check Hoodrich, he got a donkey dick I'm Aquafina make 'em dive in it I wanna feel his third leg while he's strokin' it Throw my face in the pillow while he crankin' it Oh yeah, bend me over, take a pic Stroke me good, throw me deep dick Lets put this shit on Instagram, it's Juicy J and Trina bitch Yeah 2 Chainz! I don’t give a fi-nuck, put it in her gin-uts Hit a strip club, ran out of ones so now I got to re-up I don’t give a fi-nuck, put in her gin-uts I don’t give a, I don’t give a, I don’t, I don’t, I don’t, I don’t I don’t give a fi-nuck, put in her gin-uts Hit a strip club, ran out of ones so now I got to re-up Sex pistol, lady killer B-b-b-bust a nut on her, and that's baby sittin', (Damn) Ok, now next contestant, I smoked a blunt for breakfast Skeeted on her chest, and thats a fuckin' necklace By the time you get back, I'll be somewhere leaving strokers With a girl like Pocahontas, with her hair down to her shoulders Unconditional love, we can do it in a Porsche From the Porsche to the wall, wall to the sofa I'm supposed to post her, it's La Cosa Nostra Then I pull her closer, hit her with the poker",0
Chase Atlantic,Meddle About,"Well, come and get it now Come and get it now Baby, show me what you're doing Come and turn around 'Cause it's not just a figure of speech You got me down on my knees It's getting harder to breathe out We only met each other just the other day But you already got me feeling some type of way Now, if I could figure it out I'd take you back to my house So we could meddle about We could meddle about Woah-oh-oh-oh-oh We could meddle about No-woah-oh-oh-oh-ooh We could meddle about Woah-oh-oh-oh-oh We could meddle about Girl, just scream it out Tell me what you're thinking Oh, I wanna see you undress now I wanna hear you confess now Oh, oh Back to my house, so we can Back to my house, so we can Meddle about Meddle about (hey) Well, come and get it now Come and get it now Baby, show me what you're doing Come and turn around 'Cause it's not just a figure of speech You got me down on my knees It's getting harder to breathe out We only met each other just the other day But you already got me feeling some type of way Now, if I could figure it out I'd take you back to my house So we could meddle about We could meddle about Meddle about We could meddle about Woah-oh-oh-oh-oh We could meddle about Woah-oh-oh-oh-oh",0
Jibbs,Chain Hang Low,"Beatstaz! Do your chain hang low? Do it wobble to the flo'? Do it shine in the light? Is it platinum, is it gold? Could you thow it over your shoulder? If ya hot, it'd make ya cold? (Oh) Do your chain (Oh) hang (Oh) low? Is that ya chain? 'Bout twenty-four inches is how low I let it hang Hop out the ride and let the dime smoke off the range Just by the chain, you can tell the big kid do his thang You know the name Is that ya chain? 'Bout twenty-four inches is how low I let it hang Hop out the ride and let the dime smoke off the range Just by the chain, you can tell the big kid do his thang I'm off the chain Yeah, yeah, yeah, yeah, I'm hot, kid Chain so low, you would think the diamonds never stopped it And it's funny 'cause you could never stop it A bunch of rocks on my hand and I ain't even on the block, kid Show 'em white gold, sorta hold it like my Timbs And the chain hang twenty-four inches like the rims Diamonds all blown up (Yeah), sorta like a pimp So when the light hit the ice, it starts glistenin' off the tip (Glistenin' off the tip) My chain hang, all it do is bling-bling Half blue, half red, like my diamonds gang-bang And I don't even think we on the same thang Charm so heavy, they couldn't lift it 'til the crane came (Yeah) Do it wobble to the flo'? Do it shine in the light? Is it platinum, is it gold? Could you throw it over your shoulder? If ya hot, it'd make ya cold? Do your chain hang low? Do your chain hang low? If ya hot, it'd make ya cold? Do your chain hang low? (Chain) Yeah, yeah, yeah, yeah, I'm so icy (Do your chain—) My charm so heavy that my neck don't like me ( Do your chain— ) Gone and no, no, no, its not a game, kid (Do your chain—) 'Cause I'll throw my chain in the crowd like Game did (Do your chain—, this is nothin') Diamonds is nothin' to me ( Do it shine— ) Especially when I'm dressin' up, it's just a button to me (Bling) ( Could you through it over your shoulder? ) And not to mention my tees 'Cause they color coordinated, complimentin' the teeth (Alright, thanks) So check out my swag The diamonds red, white and blue like the American flag ( Do it shine— , the boy is so colorful) And see I got that nice cream My money I spent on jewels, I call it my ice cream (Ch-ch-chain) Give you a black eye 'cause of the beating They think I am a mutant, the way your boy is beasting ( Ch-ch-chain ) I stay winnin' some time, you will call it cheating Yeah, my boys always around (Oh) like it's a meeting Is that ya chain? (Do your chain—) 'Bout twenty-four inches is how low I let it hang (Do your chain—) Hop out the ride and let the dime smoke off the range (Do your chain—) Just by the chain you can tell the big kid do his thang (Do your chain—) You know the name Is that ya chain? (Do your chain—) 'Bout twenty-four inches is how low I let it hang (Do your chain—) Hop out the ride and let the dime smoke off the range (Do your chain—) Just by the chain you can tell the big kid do his thang (Do your chain—) I'm off the chain",0
Tina Fey,The Big House,"Hit it boys This is Russia’s premier state-funded hotel We’re very proud of our eclectic clientele Excellence in service since 1932 Don’t believe what you read in the online reviews It’s the Big House The perfect getaway Welcome into the Big House You’ll never get away It’s no Hilton or no Hyatt But you will have a riot So please enjoy your stay Here’s the dining room, the menu is minimal What the cook does to the food is criminal Pull up a seat frog, grab yourself a stool May I recommend you try our famous gruel In the Big House You’ll never be alone Life ain’t bad in the Big House No, froggy, no Check out after ten Or eleven years Make yourself at home Accommodation here is far superior Than anything else you will find in Siberia Let me know if there’s anything you need Everything is free, money back guaranteed MAN IN SOLITARY CONFINEMENT In the Big House, you will not survive When you arrive in the Big House, run for your life! (1, 2, 3, 4) It’s the Big House The perfect getaway Welcome into the Big House You’ll never get away For your security I’ll keep the only key Now please enjoy your stay",1
Paul Russell,Lil Boo Thang,"Look, let me tell you (Girl) You my lil' boo thang So I don't give a hoot what your dude say, girl, I know You a lil' too tame I'll be shootin' that shot like 2K, girl, I know Tell 'em I'm, tell 'em I'm next Tell 'em you found a lil' somethin' too fresh, I know Tell 'em I'm, tell 'em I'm next Tell 'em you found a lil' somethin' too fresh, I know Put a lil' gold in the teeth And the fit good, so I took the doors off the Jeep, okay I see a brother holdin' your seat, no beef But I'm tryna get to know you at least Don't take my talkin' to you wrong I can keep it chill like a sauvignon blanc I'ma keep it real when your man long gone If you're lookin' for a friend, then you got thе wrong song Baby girl, what's good, what's with ya? If you booked tonight, that's fiction I'm outside, no pictures You want mе, go figure To the back, to the front You a ten, baby girl, but I'm the one (Hey) To the back, to the front You a ten, baby girl, but I'm the one (One) Ayy Girl, you got me I'm singin', it's like Oh-ooh, oh-ooh, you got the best of my love Oh-ooh, oh-ooh, you got the best of my, my Oh-ooh, oh-ooh, you got the best of my love Oh-ooh, oh-ooh, and in that dress I'm like (Woah) You my lil' boo thang (Yeah) So I don't give a hoot what your dude say, girl, I know You a lil' too tame I'll be shootin' that shot like 2K, girl, I know Tell 'em I'm, tell 'em I'm next Tell 'em you found a lil' somethin' too fresh, I know Tell 'em I'm, tell 'em I'm next Tell 'em you found a lil' somethin' too fresh, I know",1
Ne-Yo,She Knows,"Yeah, uh-huh! Your boy Juicy J She bad, yeah In case you didn't know, Juicy that nigga I keep me two hoes like that nigga Jack Tripper I shoot in they face like that boy Reggie Miller And I kill that pussy like my name Jack the Ripper Baby, I'm horny and I ain't too proud to beg Instead show me the bed Early morning breakfast and head And I got Tina, Tasha and Toya, I call ‘em the triple threat All them bitches be soaking wet This the first night them bitches met You know from the moment she turn around She know how to back it up and drop it down She know she what all the fellas looking at Cause they know soon as her song come on it's a wrap And she loves the attention That she get when she moves, yeah Showin' out with her home girls Hypnotizing all the dudes, oh And she knows (She knows, she knows, she knows) She knows (She knows, she knows, she knows) She knows (She knows, she knows, she knows) I know, I know, she knows (She knows, she knows, she knows) And I know, I know, she knows She bad, mix of ratchet with the classy, oh So bad, I just couldn't let her pass me, no I told her, ""Shawty, you so right, but you so wrong"" (So wrong, so wrong, so wrong) She said, ""Daddy, I'll be back after this song"" ""Then you takin' me home"" Said I know Said I know she loves the attention That she get when she moves Showin' out with her home girls And she got me watching too, girl She know what she working with (She know, she know, she know) I see you, uh You got my attention, baby, go do what you do Eviction notice, know you gon' have to make a move All this ice in my Rollie, no wonder I play it cool Ain't no I in team, but I got my eyes on you I watch it bounce when she walk She lick her lips when she talk I throw her in that Bentley coupé with the top off like Mardi Gras All that cake, come get you some filling Like a soap opera, watch all my children Hit it so long that she might lose feeling With her legs in the air, she gon' walk on the ceiling",0
Wiz Khalifa,See You Again (feat. Charlie Puth),"It's been a long time since I've had a taco And I'll tell you all about it when I eat that Again Bongos (aw, aw, aw, aw, aw) Oh I'll tell you all about it when I see eyes again, when I Dam, dam, dam, Hulu All the love for this poo, no more jokes about poo Now I'll be sitting here on this thin road Playing something on my phone When we fly planes, jet lags Something told me that wiw wouldn't last Had to get a switch, look at this difference, bigger picture Those are the the blaze, work hard to eat some lazy, now I see it on youtube uh uh uh How come you ask my family for help, and 2 dollars all I got, now I owе the bank 40,000 Aw, aw aw aw (Debt) Long Nose (long nosе) Where were we? I tell you I need a taco, can I have a bite Oh oh oh, oh Oh oh oh woh oh (How come we never talk about family when family is standing, when family is standing when) Aw",1
50 Cent,Candy Shop,"Yeah, uh-huh So seductive I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' 'till you hit the spot, woah I'll take you to the candy shop (Yeah) Boy, one taste of what I got (Uh-huh) I'll have you spendin' all you got (Come on) Keep goin' 'til you hit the spot, woah You could have it your way, how do you want it? You gon' back that thing up or should I push up on it? Temperature risin', okay, let's go to the next level Dance floor jam-packed, hot as a tea kettle I'll break it down for you now, baby, it's simple If you be a nympho, I be a nympho In the hotel or in the back of the rental On the beach or in the park, it's whatever you into Got the magic stick, I'm the love doctor Have your friends teasin' you 'bout how sprung I got you Wanna show me you could work it, baby? No problem Get on top, then get to bounce around like a low rider I'm a seasoned vet when it come to this shit After you work up a sweat, you could play with the stick I'm tryin' to explain, baby, the best way I can I'll melt in your mouth, girl, not in your hand, ha-ha I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' 'til you hit the spot, woah I'll take you to the candy shop Boy, one taste of what I got I'll have you spendin' all you got Keep goin' 'til you hit the spot, woah Girl, what we do ( What we do ) And where we do ( And where we do ) The things we do ( Things we do ) Are just between me and you, yeah ( Oh yeah ) Give it to me, baby, nice and slow Climb on top, ride like you in a rodeo You ain't never heard a sound like this before 'Cause I ain't never put it down like this Soon as I come through the door, she get to pullin' on my zipper It's like it's a race, who could get undressed quicker Isn't it ironic, how erotic it is to watch her in thongs? Had me thinkin' 'bout that ass after I'm gone I touched the right spot at the right time Lights on or lights off, she like it from behind So seductive, you should see the way she whine Her hips in slow-mo on the floor when we grind Long as she ain't stoppin', homie, I ain't stoppin' Drippin' wet with sweat, man, it's on and poppin' On my champagne campaign, bottle after bottle, it's on And we gon' sip 'til every bubble in every bottle is gone I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' 'til you hit the spot, woah I'll take you to the candy shop Boy, one taste of what I got I'll have you spendin' all you got Keep goin' 'til you hit the spot, woah I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' 'til you hit the spot, woah I'll take you to the candy shop Boy, one taste of what I got I'll have you spendin' all you got Keep goin' 'til you hit the spot, woah",0
