Artist,TrackName,Lyrics,AgeAppropriate
Thorgan,Why Don't You,"So why dont you Bodies are losing control Bending the mind and the soul Craving for you, I want more Know we wont stop til Im gone Ride it baby Show me the taste of your love Cause you fucking drive me crazy Show me the taste of your love So why dont you Why dont you ride it So why dont you Why dont you ride it So why dont you Bodies are losing control Adrenaline rush through the bones I see your eyes through the smoke As I grip you by the throat Ride it baby Show me the taste of your love Cause you fucking drive me crazy Show me the taste of your love So why dont you Why dont you ride it So why dont you Oh, wont you ride it, baby Oh, wont you ride it, baby Wont you ride it Wont you ride it, baby Oh, wont you ride it, baby So why dont you",0
Justin Bieber,Confident,"Dont do it to me Dont do it to me Oh, no, no, oh, no, no Dont do it to me Oh, no, no, oh, no, no, no Dont do it to me Oh, no, no, oh, no, no Dont do it to me Oh, no, no, oh, no, no, no Focused, Im focused She got a body like that, I aint never seen nothin like that, uhuh Like a fantasy in front of me, oh I think that somethin specials goin down Thats right, I think she foreign Foreign I think she foreign Foreign, got passports Mi amor Mor started slow Slow, got faster She gon work some more More, work some more More No stoppin her now Now, now No stoppin her now Now, now, now, now Then she started dancing, sexual romancin Nasty but she fancy, lipstick on my satin sheets Whats your nationality Wonder if theres more of you Shes got my attention, shes confident Oh, no, no, oh, no, no, shes confident Yeah, yeah Oh, no, no, oh, no, no, and Im down with it Oh, no, no, oh, no, no, shes confident You could tell by the way she walks in the room She said its her first time Oh, yeah, yeah I think she might have lied Feels so good, damn Oh, yeah, yeah And I dont know why Im addicted Oh, yeah, yeah Something like an addict Got me twisted Oh, yeah, yeah But still, I gotta have it Explosive, explosive Yeah, yeah I could still smell her perfume Its not hard to notice that Im open Yeah, yeah Hypnotized by the way she moves Then she started dancing, sexual romancin Nasty but she fancy, Mona Lisa masterpiece Whats your nationality Wonder if theres more of you Shes got my attention Hold up, cause shes confident She said its her first time Oh, yeah, yeah I think she might have lied Feels so good, damn Oh, yeah, yeah And I dont know why IGH Im addicted Oh, yeah, yeah Something like an addict Oohwoo Got me twisted Oh, yeah, yeah But still, I gotta have it Chance The Rapper IGH Tattoos, piercings and she just learned to twerk Oh She aint got a heart or an ass, just her brains Gotta ask cause her ass on a learning curve Oh And she love to hurn the berb, I mean burn the word Thats only legal with a doctors note Oh Real deep pockets like a doctors coat IGH IGH Stay faded like Diddy, hair back tryna rock the boat She the first mate when I rock the boat IGH She never forget to ride like a bicycle She like planes, trains, chains with icicles It goes her, blank, blank, and rock and roll IGH She say I know, honey bunny, thats the funny thing Ooh Thots twerk for the Goodfellas She money dance with the money team, IGH Shes confident Oh, no, no, oh, no, no, shes confident Yeah, yeah Oh, no, no, oh, no, no, and Im down with it Oh, yeah Oh, no, no, oh, no, no, shes confident You could tell by the way she walks in the room Still, I gotta have it Yeah Still, I gotta have it Alright Still, I gotta have it Yeah, alright Oh, no, no, oh, no, no Yeah Oh, no, no, oh, no, no, no Alright Oh, no, no, oh, no, no Yeah Oh, no, no, oh, no, no But still, I gotta have it",0
Juicy J,Having Sex (feat. Trina & 2 Chainz),"If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell, fuck yeah Yes sir Shawty throw me that ass, hold up let me see it Pop it let me touch it, bring it back and let me squeeze it Go on show me that pussy cat, Imma take it home and feed it If its good as it looks, might go in raw and seed it Pop a couple of these bands, she poppin open that Gstring Pussy wet as a pool, and Juicy Js in the deep end Bands a make her dance, I dont tip till I see pussy And she aint got no waist line, that ass as soft as a seat cushion Damn right I make it rain, all night thats a hurricane Strip club run out of ones, Im throwin twenties I dont need change Every time she drop it, Im goin off to my pocket Fifty thousand in the air, I aint worried I got it If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell, fuck yeah Yes sir If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell yeah Hell yeah If you believe in having sex, say hell, fuck yeah Yes sir I believe in having sex, bitch Im Miss America I do want I wanna do, and I fuck him in my Panamera Uh yea, fat bitch, dont see no bra, savage I dont even fuck around bout the cabbage Them hoes just sweet, average J know the mango Juicy, he love my big ol booty Louboutins bake my cookie, Bugatti bitch no hooptie If I let you feature my movie, my legs wrapped around my neck If I let you feature in my movie, somebody cuttin me a big check Hoodrich, he got a donkey dick Im Aquafina make em dive in it I wanna feel his third leg while hes strokin it Throw my face in the pillow while he crankin it Oh yeah, bend me over, take a pic Stroke me good, throw me deep dick Lets put this shit on Instagram, its Juicy J and Trina bitch Yeah 2 Chainz I dont give a finuck, put it in her ginuts Hit a strip club, ran out of ones so now I got to reup I dont give a finuck, put in her ginuts I dont give a, I dont give a, I dont, I dont, I dont, I dont I dont give a finuck, put in her ginuts Hit a strip club, ran out of ones so now I got to reup Sex pistol, lady killer Bbbbust a nut on her, and thats baby sittin, Damn Ok, now next contestant, I smoked a blunt for breakfast Skeeted on her chest, and thats a fuckin necklace By the time you get back, Ill be somewhere leaving strokers With a girl like Pocahontas, with her hair down to her shoulders Unconditional love, we can do it in a Porsche From the Porsche to the wall, wall to the sofa Im supposed to post her, its La Cosa Nostra Then I pull her closer, hit her with the poker",0
Chase Atlantic,Meddle About,"Well, come and get it now Come and get it now Baby, show me what youre doing Come and turn around Cause its not just a figure of speech You got me down on my knees Its getting harder to breathe out We only met each other just the other day But you already got me feeling some type of way Now, if I could figure it out Id take you back to my house So we could meddle about We could meddle about Woahohohohoh We could meddle about Nowoahohohohooh We could meddle about Woahohohohoh We could meddle about Girl, just scream it out Tell me what youre thinking Oh, I wanna see you undress now I wanna hear you confess now Oh, oh Back to my house, so we can Back to my house, so we can Meddle about Meddle about hey Well, come and get it now Come and get it now Baby, show me what youre doing Come and turn around Cause its not just a figure of speech You got me down on my knees Its getting harder to breathe out We only met each other just the other day But you already got me feeling some type of way Now, if I could figure it out Id take you back to my house So we could meddle about We could meddle about Meddle about We could meddle about Woahohohohoh We could meddle about Woahohohohoh",0
Jibbs,Chain Hang Low,"Beatstaz Do your chain hang low Do it wobble to the flo Do it shine in the light Is it platinum, is it gold Could you thow it over your shoulder If ya hot, itd make ya cold Oh Do your chain Oh hang Oh low Is that ya chain Bout twentyfour inches is how low I let it hang Hop out the ride and let the dime smoke off the range Just by the chain, you can tell the big kid do his thang You know the name Is that ya chain Bout twentyfour inches is how low I let it hang Hop out the ride and let the dime smoke off the range Just by the chain, you can tell the big kid do his thang Im off the chain Yeah, yeah, yeah, yeah, Im hot, kid Chain so low, you would think the diamonds never stopped it And its funny cause you could never stop it A bunch of rocks on my hand and I aint even on the block, kid Show em white gold, sorta hold it like my Timbs And the chain hang twentyfour inches like the rims Diamonds all blown up Yeah, sorta like a pimp So when the light hit the ice, it starts glistenin off the tip Glistenin off the tip My chain hang, all it do is blingbling Half blue, half red, like my diamonds gangbang And I dont even think we on the same thang Charm so heavy, they couldnt lift it til the crane came Yeah Do it wobble to the flo Do it shine in the light Is it platinum, is it gold Could you throw it over your shoulder If ya hot, itd make ya cold Do your chain hang low Do your chain hang low If ya hot, itd make ya cold Do your chain hang low Chain Yeah, yeah, yeah, yeah, Im so icy Do your chain My charm so heavy that my neck dont like me  Do your chain  Gone and no, no, no, its not a game, kid Do your chain Cause Ill throw my chain in the crowd like Game did Do your chain, this is nothin Diamonds is nothin to me  Do it shine  Especially when Im dressin up, its just a button to me Bling  Could you through it over your shoulder  And not to mention my tees Cause they color coordinated, complimentin the teeth Alright, thanks So check out my swag The diamonds red, white and blue like the American flag  Do it shine , the boy is so colorful And see I got that nice cream My money I spent on jewels, I call it my ice cream Chchchain Give you a black eye cause of the beating They think I am a mutant, the way your boy is beasting  Chchchain  I stay winnin some time, you will call it cheating Yeah, my boys always around Oh like its a meeting Is that ya chain Do your chain Bout twentyfour inches is how low I let it hang Do your chain Hop out the ride and let the dime smoke off the range Do your chain Just by the chain you can tell the big kid do his thang Do your chain You know the name Is that ya chain Do your chain Bout twentyfour inches is how low I let it hang Do your chain Hop out the ride and let the dime smoke off the range Do your chain Just by the chain you can tell the big kid do his thang Do your chain Im off the chain",0
Tina Fey,The Big House,"Hit it boys This is Russias premier statefunded hotel Were very proud of our eclectic clientele Excellence in service since 1932 Dont believe what you read in the online reviews Its the Big House The perfect getaway Welcome into the Big House Youll never get away Its no Hilton or no Hyatt But you will have a riot So please enjoy your stay Heres the dining room, the menu is minimal What the cook does to the food is criminal Pull up a seat frog, grab yourself a stool May I recommend you try our famous gruel In the Big House Youll never be alone Life aint bad in the Big House No, froggy, no Check out after ten Or eleven years Make yourself at home Accommodation here is far superior Than anything else you will find in Siberia Let me know if theres anything you need Everything is free, money back guaranteed MAN IN SOLITARY CONFINEMENT In the Big House, you will not survive When you arrive in the Big House, run for your life 1, 2, 3, 4 Its the Big House The perfect getaway Welcome into the Big House Youll never get away For your security Ill keep the only key Now please enjoy your stay",1
Paul Russell,Lil Boo Thang,"Look, let me tell you Girl You my lil boo thang So I dont give a hoot what your dude say, girl, I know You a lil too tame Ill be shootin that shot like 2K, girl, I know Tell em Im, tell em Im next Tell em you found a lil somethin too fresh, I know Tell em Im, tell em Im next Tell em you found a lil somethin too fresh, I know Put a lil gold in the teeth And the fit good, so I took the doors off the Jeep, okay I see a brother holdin your seat, no beef But Im tryna get to know you at least Dont take my talkin to you wrong I can keep it chill like a sauvignon blanc Ima keep it real when your man long gone If youre lookin for a friend, then you got the wrong song Baby girl, whats good, whats with ya If you booked tonight, thats fiction Im outside, no pictures You want me, go figure To the back, to the front You a ten, baby girl, but Im the one Hey To the back, to the front You a ten, baby girl, but Im the one One Ayy Girl, you got me Im singin, its like Ohooh, ohooh, you got the best of my love Ohooh, ohooh, you got the best of my, my Ohooh, ohooh, you got the best of my love Ohooh, ohooh, and in that dress Im like Woah You my lil boo thang Yeah So I dont give a hoot what your dude say, girl, I know You a lil too tame Ill be shootin that shot like 2K, girl, I know Tell em Im, tell em Im next Tell em you found a lil somethin too fresh, I know Tell em Im, tell em Im next Tell em you found a lil somethin too fresh, I know",1
Ne-Yo,She Knows,"Yeah, uhhuh Your boy Juicy J She bad, yeah In case you didnt know, Juicy that nigga I keep me two hoes like that nigga Jack Tripper I shoot in they face like that boy Reggie Miller And I kill that pussy like my name Jack the Ripper Baby, Im horny and I aint too proud to beg Instead show me the bed Early morning breakfast and head And I got Tina, Tasha and Toya, I call em the triple threat All them bitches be soaking wet This the first night them bitches met You know from the moment she turn around She know how to back it up and drop it down She know she what all the fellas looking at Cause they know soon as her song come on its a wrap And she loves the attention That she get when she moves, yeah Showin out with her home girls Hypnotizing all the dudes, oh And she knows She knows, she knows, she knows She knows She knows, she knows, she knows She knows She knows, she knows, she knows I know, I know, she knows She knows, she knows, she knows And I know, I know, she knows She bad, mix of ratchet with the classy, oh So bad, I just couldnt let her pass me, no I told her, Shawty, you so right, but you so wrong So wrong, so wrong, so wrong She said, Daddy, Ill be back after this song Then you takin me home Said I know Said I know she loves the attention That she get when she moves Showin out with her home girls And she got me watching too, girl She know what she working with She know, she know, she know I see you, uh You got my attention, baby, go do what you do Eviction notice, know you gon have to make a move All this ice in my Rollie, no wonder I play it cool Aint no I in team, but I got my eyes on you I watch it bounce when she walk She lick her lips when she talk I throw her in that Bentley coupe with the top off like Mardi Gras All that cake, come get you some filling Like a soap opera, watch all my children Hit it so long that she might lose feeling With her legs in the air, she gon walk on the ceiling",0
Wiz Khalifa,See You Again (feat. Charlie Puth),"Its been a long time since Ive had a taco And Ill tell you all about it when I eat that Again Bongos aw, aw, aw, aw, aw Oh Ill tell you all about it when I see eyes again, when I Dam, dam, dam, Hulu All the love for this poo, no more jokes about poo Now Ill be sitting here on this thin road Playing something on my phone When we fly planes, jet lags Something told me that wiw wouldnt last Had to get a switch, look at this difference, bigger picture Those are the the blaze, work hard to eat some lazy, now I see it on youtube uh uh uh How come you ask my family for help, and 2 dollars all I got, now I owe the bank 40,000 Aw, aw aw aw Debt Long Nose long nose Where were we I tell you I need a taco, can I have a bite Oh oh oh, oh Oh oh oh woh oh How come we never talk about family when family is standing, when family is standing when Aw",1
50 Cent,Candy Shop,"Yeah, uhhuh So seductive Ill take you to the candy shop Ill let you lick the lollipop Go head, girl, dont you stop Keep goin till you hit the spot, woah Ill take you to the candy shop Yeah Boy, one taste of what I got Uhhuh Ill have you spendin all you got Come on Keep goin til you hit the spot, woah You could have it your way, how do you want it You gon back that thing up or should I push up on it Temperature risin, okay, lets go to the next level Dance floor jampacked, hot as a tea kettle Ill break it down for you now, baby, its simple If you be a nympho, I be a nympho In the hotel or in the back of the rental On the beach or in the park, its whatever you into Got the magic stick, Im the love doctor Have your friends teasin you bout how sprung I got you Wanna show me you could work it, baby No problem Get on top, then get to bounce around like a low rider Im a seasoned vet when it come to this shit After you work up a sweat, you could play with the stick Im tryin to explain, baby, the best way I can Ill melt in your mouth, girl, not in your hand, haha Ill take you to the candy shop Ill let you lick the lollipop Go head, girl, dont you stop Keep goin til you hit the spot, woah Ill take you to the candy shop Boy, one taste of what I got Ill have you spendin all you got Keep goin til you hit the spot, woah Girl, what we do  What we do  And where we do  And where we do  The things we do  Things we do  Are just between me and you, yeah  Oh yeah  Give it to me, baby, nice and slow Climb on top, ride like you in a rodeo You aint never heard a sound like this before Cause I aint never put it down like this Soon as I come through the door, she get to pullin on my zipper Its like its a race, who could get undressed quicker Isnt it ironic, how erotic it is to watch her in thongs Had me thinkin bout that ass after Im gone I touched the right spot at the right time Lights on or lights off, she like it from behind So seductive, you should see the way she whine Her hips in slowmo on the floor when we grind Long as she aint stoppin, homie, I aint stoppin Drippin wet with sweat, man, its on and poppin On my champagne campaign, bottle after bottle, its on And we gon sip til every bubble in every bottle is gone Ill take you to the candy shop Ill let you lick the lollipop Go head, girl, dont you stop Keep goin til you hit the spot, woah Ill take you to the candy shop Boy, one taste of what I got Ill have you spendin all you got Keep goin til you hit the spot, woah Ill take you to the candy shop Ill let you lick the lollipop Go head, girl, dont you stop Keep goin til you hit the spot, woah Ill take you to the candy shop Boy, one taste of what I got Ill have you spendin all you got Keep goin til you hit the spot, woah",0
Angela Lansbury,Be Our Guest,"Ma chere mademoiselle It is with deepest pride and greatest pleasure that we welcome you tonight And now, we invite you to relax, let us pull up a chair As the dining room proudly presents Your dinner Be our guest, be our guest Put our service to the test Tie your napkin round your neck, cherie And we provide the rest Soupe du jour, hot hors doeuvres Why, we only live to serve Try the grey stuff, its delicious Dont believe me Ask the dishes They can sing, they can dance After all, miss, this is France And a dinner here is never second best Go on, unfold your menu Take a glance and then youll be our guest Oui, our guest, be our guest Beef ragout, cheese souffle Pie and pudding, en flambe Well prepare and serve with flair A culinary cabaret Youre alone and youre scared But the banquets all prepared No ones gloomy or complaining While the flatwares entertaining We tell jokes, I do tricks With my fellow candlesticks Und its all in perfect taste, that you can bet Come on and lift your glass Youve won your own free pass To be our guest If youre stressed, its fine dining we suggest Be our guest, be our guest, be our guest Life is so unnerving For a servant whos not serving Hes not whole without a soul to wait upon Ah, those good old days when we were useful Suddenly those good old days are gone Ten years weve been rusting Needing so much more than dusting Needing exercise, a chance to use our skills Most days, we just lay around the castle Flabby, fat, and lazy You walked in and oopsadaisy Its a guest, its a guest Sakes alive, well Ill be blessed Wines been poured and thank the Lord Ive had the napkins freshly pressed With dessert, shell want tea And my dear, thats fine with me While the cups do their softshoein Ill be bubblin, Ill be brewin Ill get warm, piping hot Heavens sakes, is that a spot Clean it up, we want the company impressed Weve got a lot to do, is it one lump or two For you, our guest Shes our guest Be our guest Be our guest, be our guest Our command is your request Its ten years since weve had anybody here And were obsessed With your meal, with your ease Yes, indeed, we aim to please While the candlelights still glowing Let us help you, well keep going Course by course, one by one Til you shout, Enough, Im done Then well sing you off to sleep as you digest Tonight, youll prop your feet up But for now, lets eat up Be our guest, be our guest, be our guest Please be our guest",1
Kelly Clarkson,Stronger (What Doesn't Kill You),"You know the bed feels warmer Sleepin here alone Sleepin here alone You know I dream in color And do the things I want Do the things I want You think you got the best of me Think youve had the last laugh Bet you think that everything good is gone Think you left me broken down Think that Ill come running back Baby, you dont know me, cause youre dead wrong What doesnt kill you makes you stronger Stand a little taller Doesnt mean Im lonely when Im alone What doesnt kill you makes a fighter Footsteps even lighter Doesnt mean Im over cause youre gone What doesnt kill you makes you stronger, stronger Just me, myself, and I What doesnt kill you makes you stronger Stand a little taller Doesnt mean Im lonely when Im alone You heard that I was starting over with someone new They told you I was moving on and over you You didnt think that Id come back Id come back swinging You tried to break me, but you see Thanks to you, I got a new thing started Thanks to you, Im not the brokenhearted Thanks to you Im finally thinkin bout me You know in the end, the day you left was just my beginning In the end What doesnt kill you makes you stronger Stand a little taller Doesnt mean Im lonely when Im alone What doesnt kill you makes a fighter Footsteps even lighter Doesnt mean Im over cause youre gone What doesnt kill you makes you stronger, stronger Just me, myself, and I What doesnt kill you makes you stronger Stand a little taller Doesnt mean Im lonely when Im alone What doesnt kill you What doesnt kill you makes you stronger, stronger Just me, myself, and I What doesnt kill you What doesnt kill you makes you stronger Stronger Stand a little taller Taller Doesnt mean Im lonely when Im alone What doesnt kill you When Im alone",1
